full_name,id,position,photo_url
Tim Frazier,005948cb-f744-4928-bf7f-d26076717c99,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/005948cb-f744-4928-bf7f-d26076717c99/300x300-crop.png
Enes Freedom,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/5fb038ef-a3bf-4f52-afce-4f5bd074bb88/300x300-crop.png
Javon Freeman-Liberty,6830096d-0ede-42a9-9b55-a1388760f786,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6830096d-0ede-42a9-9b55-a1388760f786/300x300-crop.png
Alex Fudge,bc3d0653-efe8-4cca-ad54-3f88cd950447,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/bc3d0653-efe8-4cca-ad54-3f88cd950447/300x300-crop.png
Markelle Fultz,41edefa9-a2f9-447d-9578-d2ea2a0d783d,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/41edefa9-a2f9-447d-9578-d2ea2a0d783d/300x300-crop.png
Andrew Funk,1d2b0dcb-23f3-4263-8842-30b8acb556ce,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/1d2b0dcb-23f3-4263-8842-30b8acb556ce/300x300-crop.png
Grayson Allen,ffa9a64f-d624-4033-bd23-59dcfd805175,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ffa9a64f-d624-4033-bd23-59dcfd805175/300x300-crop.png
Giannis Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6c60282d-165a-4cba-8e5a-4f2d9d4c5905/300x300-crop.png
Goga Bitadze,0c977083-fdde-45f1-9406-60aef2a78846,C-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/0c977083-fdde-45f1-9406-60aef2a78846/300x300-crop.png
Greg Brown III,03258eec-a666-4b8f-86da-9bed8e91c39f,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/03258eec-a666-4b8f-86da-9bed8e91c39f/300x300-crop.png
Gabe Brown,b1275a1f-6ede-44f7-b1a1-091399a6ff5a,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b1275a1f-6ede-44f7-b1a1-091399a6ff5a/300x300-crop.png
Gary Clark,2c0b750c-91a2-4e1d-8387-47c4944104e8,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/2c0b750c-91a2-4e1d-8387-47c4944104e8/300x300-crop.png
George Conditt IV,ee768486-b1ab-4ce2-b00d-79a960c3b57f,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ee768486-b1ab-4ce2-b00d-79a960c3b57f/300x300-crop.png
Gabriel Deck,a36464a9-206a-44d5-90a7-8c24e348f960,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/a36464a9-206a-44d5-90a7-8c24e348f960/300x300-crop.png
Gradey Dick,59c707c2-fc69-4ed5-aa33-d446709dad9f,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/59c707c2-fc69-4ed5-aa33-d446709dad9f/300x300-crop.png
Gorgui Dieng,fd9448f0-99a2-4169-addf-235e14acf9f9,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/fd9448f0-99a2-4169-addf-235e14acf9f9/300x300-crop.png
Goran Dragic,fea7b92a-0124-4775-8747-e4828f0dab8b,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/fea7b92a-0124-4775-8747-e4828f0dab8b/300x300-crop.png
Grant Golden,3f8ebe9b-db58-4641-a547-93f38c2d4bde,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/3f8ebe9b-db58-4641-a547-93f38c2d4bde/300x300-crop.png
