minutes,points,off_rebounds,def_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,flagrant_fouls,blocked_att,field_goals_made,field_goals_att,three_points_made,three_points_att,free_throws_made,free_throws_att,two_points_made,two_points_att,efficiency,true_shooting_att,points_off_turnovers,points_in_paint_made,points_in_paint_att,points_in_paint,fouls_drawn,offensive_fouls,fast_break_pts,fast_break_att,fast_break_made,second_chance_pts,second_chance_att,second_chance_made,player_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58b59093-a407-48bc-ba49-6ce5f07717b0
17.55,6.199999999999999,1.13,3.205,4.34,1.5499999999999998,0.5349999999999999,0.87,1.21,1.47,0.0,0.28,2.475,6.24,0.8,2.69,0.44,0.74,1.675,3.55,8.175,6.57,1.125,1.47,2.955,2.94,0.73,0.14500000000000002,0.835,0.525,0.35,0.935,1.055,0.43,132799e5-ab45-4b19-aff9-5dd73f85651c
24.25,9.4,0.405,2.34,2.745,2.25,0.38,0.21,1.13,1.7,0.0,0.18,3.025,5.83,1.1400000000000001,2.895,2.23,2.57,1.8800000000000001,2.935,10.68,6.960000000000001,1.84,1.595,2.295,3.195,2.58,0.095,1.685,0.86,0.645,0.635,0.42000000000000004,0.17,c4981f56-93a2-47b1-8d31-4e8635f45e1d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643b1f04-755c-4041-8259-45340a056b43
19.35,5.15,0.22499999999999998,1.425,1.65,1.25,0.51,0.08499999999999999,0.525,1.4649999999999999,0.01,0.275,1.875,4.595,0.96,2.795,0.43999999999999995,0.635,0.915,1.805,5.205,4.875,0.6,0.905,1.6800000000000002,1.82,0.725,0.03,0.605,0.445,0.22999999999999998,0.49,0.5349999999999999,0.195,34a159c8-9fe6-4386-bf01-3446f4248bcb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62933587-9382-4b7e-9cb0-9a07e5b4fdc8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73e347c9-dab6-45b2-8774-82d5bdb6f940
14.4,4.9,0.45499999999999996,2.025,2.485,0.9,0.18,0.28500000000000003,0.645,1.97,0.015,0.15000000000000002,1.96,3.58,0.6799999999999999,1.9300000000000002,0.285,0.38,1.275,1.65,6.38,3.745,0.745,1.205,1.565,2.41,0.595,0.095,0.265,0.15000000000000002,0.125,0.495,0.325,0.22,ddebd1eb-4298-449d-850a-4dd5f84da05c
23.85,11.95,2.495,4.465,6.959999999999999,3.3,0.935,0.89,2.27,3.2800000000000002,0.0,0.7949999999999999,4.55,8.545,0.28500000000000003,0.9400000000000001,2.55,3.5949999999999998,4.26,7.605,16.695,10.129999999999999,1.4300000000000002,4.165,7.295,8.335,3.8600000000000003,0.43,0.41000000000000003,0.205,0.155,2.24,1.6749999999999998,0.93,47ff78e7-5607-48d6-9c1a-bddb075dbe70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3574b554-210a-4382-ada9-220ad42586ff
29.6,16.5,0.44499999999999995,2.14,2.585,3.15,0.525,0.18,1.645,2.11,0.01,0.575,5.965,13.625,2.71,7.215,1.8250000000000002,2.01,3.255,6.41,13.375,14.515,2.29,2.265,4.225,4.53,1.54,0.185,1.62,1.09,0.595,1.365,1.115,0.47500000000000003,632adcc4-97f1-4e67-a132-e0b79f013c67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c68be35a-1173-4d26-bdfb-495a3904fa46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18c14a3d-2ce0-451c-bceb-b0ce13c16ead
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b8b323c1-5691-43a4-9c48-707531803d6a
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33a91bda-9f4d-4f80-97d8-9bc574f6afc2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01fd0e27-0147-4034-a74e-c2c75ece7843
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3fd7679-312f-42a1-b78d-326da1492c03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54cfeef0-7252-4db2-9732-e399750031a5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c861696-d71b-4419-8a13-2f9e294ad0b5
18.5,6.55,0.765,2.045,2.815,1.05,0.53,0.2,0.8,1.6600000000000001,0.0,0.3,2.455,4.66,0.69,1.935,0.95,1.255,1.7650000000000001,2.7199999999999998,7.855,5.21,1.5,1.705,2.645,3.41,1.01,0.065,0.9199999999999999,0.69,0.39,1.095,0.7949999999999999,0.45,d3b28775-473d-471a-8452-e913f4347f0f
31.650000000000002,17.950000000000003,1.475,3.355,4.83,2.05,1.025,0.6950000000000001,1.4500000000000002,2.345,0.0,0.62,6.88,14.335,2.34,5.705,1.845,2.7399999999999998,4.54,8.625,16.72,15.535,2.965,3.605,6.3100000000000005,7.215,2.76,0.25,2.12,1.355,0.8400000000000001,2.125,1.74,0.88,77c425f0-0fce-4fab-bd1e-c915c8fb5bc7
5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58c01127-e0de-487d-a2bc-bf88642619c0
23.5,8.8,2.025,5.005000000000001,7.025,1.2,0.555,0.55,1.105,2.1500000000000004,0.025,0.8250000000000001,3.575,8.129999999999999,0.445,1.615,1.22,1.9449999999999998,3.135,6.51,11.774999999999999,8.985,1.495,3.02,5.83,6.035,1.505,0.355,1.145,0.79,0.485,1.705,1.5550000000000002,0.73,3dbbb869-88a8-44f2-ac36-46fd0f5d825c
