player_id,full_name,first_name,position,primary_position
852e34ff-2735-4d9a-895c-cb45978ae13a,Izaiah Brockington,Izaiah,G,NA
f7134fc8-b298-41fd-933d-d0c4a5d8f6ac,Malcolm Brogdon,Malcolm,G,PG
72a6489b-ad35-4f06-8a4f-a68ea1052f7b,Dillon Brooks,Dillon,G-F,SG
e69b01fb-0fb7-4043-9609-00aacedf07fe,Armoni Brooks,Armoni,G,PG
c782137a-e406-400e-9188-828b79f39ce9,,,,
ffc5579c-783f-4d62-80ab-3c3dcb05a27d,Jaylen Brown,Jaylen,G-F,SF
298fa611-756c-4b05-8930-b5ff2fec5640,Kendall Brown,Kendall,G,SG
5350a897-aa31-4510-8feb-e709e1feb844,Troy Brown Jr.,Troy,G-F,SF
03258eec-a666-4b8f-86da-9bed8e91c39f,Greg Brown III,Greg,F,PF
355308f5-dbd8-4936-82fd-9a3c5c8e4b0d,Moses Brown,Moses,C,C
83d5d358-9559-49fb-8cde-833d8d5eb108,Kobe Brown,Kobe,F,PF
c64b2514-98dc-4cd9-a920-5b36abb7c252,Charlie Brown Jr.,Charlie,G,SG
b1275a1f-6ede-44f7-b1a1-091399a6ff5a,,,,
44782d59-cde5-4c5a-b7be-8387f8c79efe,,,,
2c04ab46-c23c-4df8-a748-15f0e35e4e8b,,,,
c52dd724-7a00-470f-aa10-abb1171fe31a,,,,
8d3edba8-9004-4199-9328-cc2208e8b0d3,Jalen Brunson,Jalen,G,PG
030424b9-7367-45e1-b9d4-c8dee3a89e53,Thomas Bryant,Thomas,C-F,C
ad839807-afa4-46c7-bbab-b6220fb0c63e,,,,
a36e922d-16c1-4009-80e7-7665c48fd32a,,,,
a10a4352-53b3-47b6-a336-201dc9e8401e,Kobe Bufkin,Kobe,G,SG
42fa4c2c-6520-4d04-a753-cfe4a5c5e2e1,Reggie Bullock,Reggie,G-F,SF
572261e2-8ad9-4198-969d-16cad41fdef3,,,,
73fcf334-2088-4862-b83b-66eae415cf87,Alec Burks,Alec,G,SG
a61a1458-1481-4474-8c30-bf4c3430050d,Deonte Burton,Deonte,G-F,SG
0e163d44-67a7-4107-9421-5333600166bb,Jimmy Butler,Jimmy,F,SF
0d9cd878-b94e-4daa-9848-dee6d950f1a5,Jared Butler,Jared,G,SG
905ec639-5ce0-4e2c-8105-bb62bede929f,John Butler Jr.,John,F,C
b6ba1ad1-c57b-4215-8ded-5eeee7171017,Cole Anthony,Cole,G,PG
32688af1-7ac2-432e-b60a-74b9bd89df57,,,,
eb063340-43d5-4f5c-8097-fa6e40b6f5e2,Charles Bassey,Charles,C-F,C
c1bfabbc-cb9d-4f60-95e9-dc864391da3e,Charles Bediako,Charles,C,C
f01d5d8d-f949-437a-a23f-3835c0939ced,Chris Boucher,Chris,F-C,PF
cbc1a455-6cf8-4174-ace6-b0e250936f74,Christian Braun,Christian,G,SG
c64b2514-98dc-4cd9-a920-5b36abb7c252,Charlie Brown Jr.,Charlie,G,SG
c52dd724-7a00-470f-aa10-abb1171fe31a,,,,
c37dafbb-a269-41f6-813f-bdb4da388203,Clint Capela,Clint,C,C
a4b52811-c864-4830-a0fe-9d9745814422,Colin Castleton,Colin,C,C
b4c697f6-ddcc-48cd-9294-fb86d9b1899f,,,,
05b699b8-99e3-497f-bc90-d585d6d55230,,,,
a2590771-dd96-46c4-bab5-64832a221478,Chance Comanche,Chance,C,C
57d55cd4-6ab8-4255-a248-bef800c0cbab,Cade Cunningham,Cade,G,PG
c5e899f1-36b5-4fde-8e58-8c572ab4ffe6,,,,
74cddaf3-0435-4adb-83fe-d44ae35e7e4b,Cheick Diallo,Cheick,F-C,C
1233bcf7-d653-4a86-b10a-86e3da52bdf0,Chris Duarte,Chris,G,SF
d1340a44-b873-425e-a1c6-2545a0ef8398,,,,
fda9e870-e97c-4df9-895a-0ec981cdd820,,,,
3f64e9a6-6e1e-499b-aec8-764c99f634b2,,,,
60b8026e-e154-4ed7-a247-8e4af1dbf668,Collin Gillespie,Collin,G,PG
eb91a4c8-1a8a-46bf-86e6-e16950b67ef6,Chet Holmgren,Chet,C-F,PF
bd776d4e-4c2c-4eeb-a3ab-cbc069faee4a,,,,
968ecb8b-c8b6-4fe1-a606-346f7a82a7c1,Caleb Houstan,Caleb,G,SF
5d9dd021-537d-478d-8540-2d2708f356f4,,,,
2fe5b749-7bd4-4dbc-acfb-6d675f541e37,Cameron Johnson,Cameron,F,PF
b173be95-9411-4fa9-afa3-ff231db0ed4d,Colby Jones,Colby,G-F,SG
7469a302-4149-455c-a19f-92cf6777ad78,Carlik Jones,Carlik,G,PG
5769354c-0661-4ac7-86e5-3fd51506df36,Cory Joseph,Cory,G,PG
3358cc38-7331-43ad-af04-ebd34fe328e7,Corey Kispert,Corey,F,SF
ed643452-917d-40c5-badd-2e72958b059c,Christian Koloko,Christian,C,C
c34996e5-8be6-4053-a2f2-0acb0155e18c,Caris LeVert,Caris,G,SG
cb3ded6d-8874-4b93-8a89-6a6785f6fac0,Chris Livingston,Chris,F,SF
566685c7-ff63-439a-8888-5278904835fa,Caleb Martin,Caleb,F,SF
6eadcfb0-1d51-4525-add6-17f07ae2ad49,Cody Martin,Cody,G-F,SF
bc70a55a-cee0-478f-9a13-cf51c4a4187c,CJ McCollum,CJ,G,SG
1d35694a-2cb6-46d0-9144-01713c18d83e,,,,
fd6ac63a-a3e2-4297-a002-bca4b97b2f47,,,,
72a69d30-cf07-4b5f-94ad-9c76832788bc,Chimezie Metu,Chimezie,F-C,C
732b1bd6-d99a-4971-bc2c-4de4842b4a9a,,,,
ca71df96-74ec-4756-88db-4024302c4dec,,,,
f4800b3d-a795-4b22-bfef-83a079b30a89,Chuma Okeke,Chuma,F,PF
f9621540-42a7-435a-ad6c-482c39dce214,,,,
d8570bcf-9513-47d6-8f21-2f86625e58df,Cedi Osman,Cedi,F,SF
942c53e3-7268-44e3-b0a9-fdff55a72c03,Chris Paul,Chris,G,PG
fc486ff9-f1d0-4a1e-83ed-4a3aaec950a2,Cameron Payne,Cameron,G,PG
7458ef96-cab7-433e-a761-4e93537f4b52,Craig Porter Jr.,Craig,G,PG
f4fbc6f7-d803-404d-9f69-a31ff8fb69c7,,,,
8f10f30f-cab7-43e1-be6b-736cd8700081,Cam Reddish,Cam,F-G,SF
0e04a935-33a2-4426-84a7-41b39854a57a,,,,
80b5cccf-203b-4482-92aa-76d1598216be,Collin Sexton,Collin,G,SG
cc48bc62-dcd4-4522-8b65-c8588b06169d,,,,
6fb34293-2225-4c67-8d84-cd64156d85ec,,,,
81d7fe31-e22b-4c3b-9086-be80db176068,,,,
cae1e67f-229e-46c8-851a-571d728ae315,Cole Swider,Cole,F,SF
a03b20c9-4939-41fd-b7f8-23527a6d833d,,,,
c6289b1b-7bb2-4ee6-8111-1a6e96aa9104,Cam Thomas,Cam,G,SG
b3db0b36-344f-4035-b315-9fb18933e535,Cason Wallace,Cason,G,SG
a1e46e84-bd9e-454d-9117-a8fa1aab0ce4,Coby White,Coby,G,PG
aeba1657-a0df-427b-ba9a-6db9e9147304,Cam Whitmore,Cam,F,SF
e6909315-b7c9-456a-bc67-613ca091e255,,,,
98100660-988b-4e71-a89e-f35839964483,Christian Wood,Christian,F,PF
e1ce75b8-44ce-4086-b2e1-d2e22efc86ff,Cody Zeller,Cody,F-C,C
c21994c6-ce10-4595-b695-2a16f8154f9e,,,,
a3c4745f-461b-47d4-87db-887ac81fe5e7,Jamal Cain,Jamal,F,SF
cecc054e-b9ec-4c71-8bbb-5ee665a8c3a9,Kentavious Caldwell-Pope,Kentavious,G,SG
06df3766-f654-4fe3-8a37-496d21e7ea23,Toumani Camara,Toumani,F,PF
5536a7c6-d5f6-4957-9b69-1e64ff67b643,,,,
957e63a8-d87d-47d2-89cc-416afa292d80,Vlatko Cancar,Vlatko,F,PF
def4d45e-f04c-492d-85ea-cda0de29fe55,,,,
3e01fdac-09fa-4e9d-926f-870dbbfe28a4,,,,
744d5db7-b0be-474a-a58b-6ddf7ae35567,Wendell Carter Jr.,Wendell,C-F,C
79cd9581-3aaa-484c-a8b1-a349cdc5c34c,Jevon Carter,Jevon,G,PG
1f5e7dfc-225d-4a25-8857-e6f8192b4c44,,,,
469a1340-4263-4897-b1d5-caabc6340904,D.J. Carton,D.J.,G,SG
8936c15e-f9d5-4b9a-80b9-8f6b7dcf7a17,Alex Caruso,Alex,G,PG
20ca6325-14b7-49de-9f4c-6a5f45b4d039,,,,
bf273fcb-28c6-4f9f-a52e-2642188426a9,,,,
e5a765db-7229-4501-9e4d-d43015261a6d,Malcolm Cazalon,Malcolm,G,SG
b60c920c-b42e-4896-9f6d-7f3031fc6492,,,,
fa0e2b60-8ee9-4db6-b9bc-d0e23d6b29d2,Julian Champagnie,Julian,F,SF
6d117ec5-649d-4151-8d44-88175c603067,Justin Champagnie,Justin,G-F,SF
931f7ae2-4ce4-49e6-a3ad-e24790469fec,,,,
f4623e57-5443-4ca2-a357-a4b06badfd15,,,,
643ac9e3-9e95-4611-b5ac-8a5416046ec5,,,,
e872cdaf-5d04-45c2-bbfe-d673f3fb26ce,Max Christie,Max,G,SG
8121242f-45a6-4632-b8ae-f0846a45016a,Josh Christopher,Josh,G,SG
7721e264-5db8-4af9-b252-65f2d18c454d,Sidy Cissoko,Sidy,F,SF
a34ec970-f4a1-47a3-98a1-51ff5e92a443,Jaylen Clark,Jaylen,G,SG
2059d5d3-63ad-4feb-899a-d9c9eabfacd1,,,,
2c0b750c-91a2-4e1d-8387-47c4944104e8,,,,
c978afe7-cf22-45fc-8d0f-da8f867eb5ee,Brandon Clarke,Brandon,F,PF
03d77214-5780-4715-8df2-13de3af5ea2d,Jordan Clarkson,Jordan,G,SG
288519dc-eae8-4daf-afa4-c86322b7460e,Nic Claxton,Nic,C,C
dbf9e1f5-7573-4c24-992a-04ea080c61e1,Noah Clowney,Noah,F-C,PF
b9d4ce1b-94dc-4bec-8d62-70a86d9c523e,Amir Coffey,Amir,G-F,SG
b5310b38-a378-464f-b344-928adee0ed00,Zach Collins,Zach,F-C,PF
28a2e698-9f33-4d4d-9a5d-9bea66ee42a1,John Collins,John,F-C,PF
7b579585-9c2d-4dda-ac73-846858537b0f,,,,
ea162a49-c774-4ace-b629-8eaf2e889ddb,,,,
ee768486-b1ab-4ce2-b00d-79a960c3b57f,George Conditt IV,George,F,PF
460b7264-b98f-483e-b841-59a18c2e4d67,Mike Conley,Mike,G,PG
298852ca-299d-4cb9-a9e5-6ac909582f78,Pat Connaughton,Pat,G,SG
28b555ef-3b7d-46e9-b291-643a639086e7,,,,
9484b30a-4e6e-4307-8b42-12fa141dee17,,,,
657f2b36-208f-4bbe-a64a-c6cf6a76be72,,,,
4341ebe1-0e2e-4452-839c-6a47b094b9ec,Xavier Cooks,Xavier,F,PF
53e011ee-504f-473e-bb26-bfe34533ca10,Sharife Cooper,Sharife,G,PG
f25e7200-33a3-46b4-a38a-1b703bd4f813,,,,
27db7dbb-6aad-44df-a3f4-7e1c21c2f256,Bilal Coulibaly,Bilal,F-G,SF
3c721dcc-8d35-494a-aa85-b696c0ecda48,Ricky Council IV,Ricky,G,SG
